@RELATION GBoostSneezer
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Sneezing,NotSneezing}

@DATA
0.057768,0.001901,2.997093,0.101622,0.095138,0.396718,0.015836,0.036134,-44.718453,0.293175,-0.061374,-0.042589,-0.262774,-0.053461,-0.024423,0.033419,0.006864,0.018832,0.012815,0.005280,-0.033545,0.003542,0.004084,0.005342,0.003531,0.103150,0.002479,0.008809,0.001492,0.003735,0.005574,0.009999,0.003186,0.033473,0.055609,0.003365,0.326723,0.081905,0.066329,0.260521,0.045208,0.036262,2.611483,0.423799,0.496226,0.199862,0.311329,0.177204,0.202050,0.160251,0.106324,0.144140,0.128816,0.105363,0.111144,0.003310,0.006442,0.007726,0.008052,0.028357,0.003459,0.013786,0.002442,0.005798,0.007442,0.014532,0.003407,0.008343,Sneezing
0.155808,0.001499,3.177803,0.194771,0.138462,1.277854,0.005015,0.294428,-43.075085,0.499572,0.112921,0.193668,0.156920,0.096468,0.052264,-0.008873,0.020210,-0.058095,-0.021063,-0.004344,0.068746,0.004548,0.001103,0.023898,0.004198,0.082217,0.002489,0.014906,0.000784,0.001592,0.003123,0.006601,0.001052,0.029655,0.058647,0.003049,0.211373,0.062212,0.037329,0.420287,0.017609,0.126713,3.019590,0.373878,0.272604,0.161094,0.169288,0.210029,0.128266,0.184176,0.117363,0.106776,0.131315,0.121650,0.091009,0.005446,0.001244,0.016002,0.004987,0.016459,0.001926,0.014293,0.000744,0.001515,0.003878,0.004002,0.000849,0.006465,Sneezing
0.019428,0.001472,3.116061,0.037504,0.039384,0.243920,0.003714,0.021806,-46.802816,0.239113,0.011041,0.058249,0.039060,0.055637,-0.051038,0.000193,-0.043845,-0.026414,0.004623,0.015746,0.016918,0.001587,0.000319,0.003588,0.003132,0.144857,0.001540,0.006407,0.000476,0.000603,0.002093,0.002375,0.000634,0.040445,0.009746,0.004016,0.078552,0.012925,0.008828,0.109775,0.013919,0.018272,1.206443,0.246780,0.056752,0.134619,0.033876,0.043105,0.068869,0.040163,0.026580,0.028801,0.042067,0.038430,0.028723,0.001273,0.000214,0.003037,0.002669,0.009858,0.000955,0.004748,0.000445,0.000438,0.001805,0.001768,0.000451,0.002572,Sneezing
0.071216,0.001410,3.082486,0.119413,0.115702,0.777370,0.009129,0.092886,-42.006410,0.515820,-0.281186,-0.241297,0.069905,-0.165886,-0.114705,0.088732,0.042458,-0.068867,0.014520,0.058644,0.023864,0.004482,0.006455,0.023243,0.004263,0.080899,0.004762,0.021684,0.002318,0.004360,0.004604,0.006745,0.004597,0.031892,0.047778,0.003172,0.233370,0.049893,0.043483,0.364108,0.029207,0.076523,3.772266,0.589652,0.388440,0.312541,0.266591,0.176406,0.170677,0.188138,0.169852,0.142933,0.138217,0.124024,0.111950,0.004497,0.010549,0.028584,0.003561,0.017498,0.005957,0.029069,0.003101,0.006348,0.004235,0.010333,0.007949,0.011658,Sneezing
0.045998,0.009364,3.179806,0.074578,0.080748,0.520677,0.011466,0.061960,-41.095126,0.264277,-0.416534,-0.153071,-0.135283,-0.044687,-0.166671,0.052976,-0.136099,0.043078,0.019178,0.111109,-0.029995,0.004937,0.003132,0.006511,0.006834,0.092382,0.006297,0.004632,0.002027,0.005070,0.003837,0.004568,0.003200,0.030995,0.040557,0.014042,0.106260,0.047081,0.034593,0.341965,0.030625,0.062003,2.895141,0.809814,0.396410,0.278096,0.191890,0.150933,0.177297,0.204128,0.194841,0.187779,0.166578,0.156634,0.120807,0.009484,0.004135,0.008457,0.010798,0.025652,0.011219,0.009068,0.002410,0.010178,0.007616,0.009167,0.005649,0.009042,Sneezing
0.055826,0.005362,3.159538,0.150463,0.164618,0.523034,0.011902,0.067005,-40.882725,0.801383,-0.101278,0.107998,0.088450,0.124177,-0.034564,0.095201,-0.064467,0.033667,0.140510,0.032224,-0.026555,0.004394,0.002987,0.013632,0.002873,0.100942,0.004124,0.013883,0.003571,0.003132,0.004868,0.005250,0.001878,0.032177,0.038581,0.007694,0.186823,0.078239,0.059842,0.318721,0.031180,0.057390,3.666715,0.526726,0.529765,0.236574,0.235809,0.248139,0.205683,0.159759,0.200358,0.148151,0.159783,0.147355,0.137468,0.006285,0.005031,0.020577,0.002680,0.044350,0.006485,0.019322,0.006421,0.005084,0.007713,0.005845,0.002111,0.009081,Sneezing
0.037972,0.002948,1.974304,0.084386,0.081694,0.219756,0.003354,0.031978,-46.388773,0.539215,0.081571,0.072304,-0.097323,-0.005685,-0.010637,-0.005501,0.011636,0.060149,0.014411,0.068940,0.002997,0.002650,0.000765,0.008890,0.001636,0.122734,0.001877,0.010906,0.000279,0.001514,0.008406,0.012448,0.001020,0.038169,0.035735,0.007985,0.229897,0.045872,0.034139,0.175703,0.005286,0.035026,2.156275,0.408256,0.152607,0.118391,0.162800,0.092789,0.091328,0.075159,0.088674,0.098592,0.092026,0.086546,0.053353,0.002542,0.000788,0.009833,0.001291,0.014921,0.003633,0.011237,0.000219,0.001294,0.011417,0.018613,0.001203,0.005639,Sneezing
0.017409,0.004115,3.024158,0.075108,0.113190,0.201638,0.018926,0.019564,-42.666258,0.980529,0.136423,0.007217,-0.092502,0.121365,0.004272,0.092607,0.026420,0.032517,-0.025541,0.020486,0.008882,0.002410,0.001373,0.022095,0.002639,0.116501,0.002405,0.068105,0.000469,0.001040,0.001132,0.003070,0.000947,0.047759,0.021432,0.009607,0.240702,0.032013,0.032136,0.188010,0.022767,0.025682,2.471541,0.512007,0.247521,0.287732,0.226208,0.124665,0.131055,0.127292,0.131856,0.112780,0.116546,0.094798,0.089803,0.004344,0.002854,0.029927,0.004198,0.029210,0.004079,0.071908,0.000932,0.002246,0.001696,0.003921,0.002043,0.014540,Sneezing
0.092886,0.024411,3.060059,0.218767,0.238937,0.672035,0.004071,0.080917,-34.484233,1.414815,0.190218,0.056561,-0.273583,0.254627,0.076121,-0.065456,-0.002693,0.023353,-0.113524,0.083006,-0.142043,0.008329,0.003921,0.054827,0.006786,0.011754,0.006034,0.102290,0.006353,0.004871,0.006615,0.012835,0.004231,0.034198,0.029599,0.038778,0.230223,0.044442,0.030220,0.328483,0.003145,0.050852,3.268420,0.550712,0.299941,0.383537,0.299926,0.259555,0.211518,0.217962,0.243596,0.190432,0.167755,0.226706,0.187899,0.006108,0.003754,0.054406,0.005905,0.011376,0.007140,0.069152,0.012960,0.004634,0.007759,0.009023,0.004152,0.021335,Sneezing
0.098147,0.028809,2.990659,0.207758,0.208750,0.984456,0.006255,0.149500,-31.905757,1.161307,0.475470,0.058718,-0.189687,-0.013917,0.122508,-0.118818,-0.054258,0.041112,-0.227773,-0.055227,-0.064149,0.018832,0.003278,0.016247,0.013917,0.034819,0.005035,0.049364,0.002699,0.003548,0.006300,0.018933,0.004095,0.022470,0.057016,0.052974,0.350224,0.079651,0.043680,0.479342,0.004478,0.099052,5.448721,0.850433,0.521756,0.364250,0.407222,0.261856,0.300622,0.211134,0.235994,0.193591,0.211358,0.219649,0.215103,0.018811,0.004190,0.015774,0.023147,0.035401,0.005626,0.043819,0.002431,0.003582,0.006348,0.015088,0.005451,0.014922,Sneezing
0.101732,0.003777,2.948385,0.219405,0.236467,0.816267,0.005932,0.085196,-37.869154,0.745399,-0.067026,0.250404,-0.264006,0.298662,0.193925,-0.048605,0.252330,-0.036218,-0.008118,0.006572,-0.032940,0.005670,0.003740,0.050420,0.003948,0.030746,0.004110,0.060979,0.002747,0.003844,0.006980,0.008104,0.006947,0.026027,0.057948,0.007084,0.326198,0.053171,0.028802,0.510601,0.005910,0.086612,3.776452,0.573837,0.520869,0.368265,0.368859,0.192896,0.182703,0.225817,0.181770,0.147949,0.174345,0.165351,0.192516,0.004484,0.003339,0.038292,0.003447,0.029109,0.003444,0.062589,0.002731,0.004545,0.006013,0.006359,0.007034,0.017054,Sneezing
0.052775,0.015371,3.029903,0.121193,0.160247,0.343727,0.003741,0.077250,-31.833941,1.274773,-0.518538,-0.008977,-0.460518,0.755985,0.041671,-0.100024,0.132644,-0.163467,0.145876,0.118945,0.024018,0.007964,0.005055,0.063440,0.004279,0.012489,0.009101,0.090617,0.003569,0.004208,0.010059,0.016419,0.004819,0.029553,0.016148,0.029295,0.181453,0.019844,0.011437,0.223594,0.001242,0.033971,3.041737,0.543991,0.496151,0.307554,0.255252,0.218376,0.214962,0.190904,0.227734,0.164684,0.262020,0.165134,0.133121,0.004401,0.002698,0.034007,0.003139,0.006443,0.006147,0.029680,0.002962,0.003704,0.006461,0.013554,0.004514,0.009551,Sneezing
0.058525,0.020186,2.896824,0.171261,0.204437,0.534955,0.024223,0.075768,-28.671696,0.952756,0.301047,0.106843,-0.030082,0.234405,0.176533,-0.142864,0.080037,0.098850,-0.007591,0.090742,0.036774,0.001965,0.000849,0.028808,0.001469,0.075172,0.002642,0.070220,0.001871,0.002820,0.003608,0.009031,0.001620,0.035373,0.055695,0.030428,0.363650,0.044353,0.040239,0.581004,0.041893,0.088600,2.894515,0.949243,0.569328,0.363004,0.375734,0.241476,0.318929,0.286232,0.261391,0.197039,0.260923,0.234535,0.235221,0.002223,0.000996,0.038851,0.002233,0.059585,0.006612,0.074511,0.003572,0.005126,0.004182,0.013803,0.001837,0.018543,Sneezing
0.203732,0.004979,2.921185,0.376474,0.263518,0.855656,0.007696,0.263460,-38.303474,0.764696,0.145701,0.229360,0.032243,0.322878,0.145352,0.112121,0.174863,0.050287,0.007493,0.171512,0.071435,0.003282,0.000956,0.036327,0.003156,0.056611,0.001807,0.074624,0.002885,0.002706,0.003375,0.019025,0.002254,0.033431,0.101946,0.006865,0.390752,0.159218,0.041042,0.501094,0.007149,0.189245,5.229406,0.914140,0.523479,0.362017,0.258186,0.293763,0.221077,0.207030,0.197087,0.177413,0.183661,0.177103,0.171978,0.005389,0.001078,0.030362,0.004620,0.026411,0.002161,0.055157,0.006565,0.004527,0.005202,0.014583,0.003315,0.013625,Sneezing
0.012255,0.010082,3.147299,0.063360,0.082292,0.230619,0.012990,0.014918,-46.671258,0.631864,0.155313,0.078644,0.021817,0.042609,0.001985,0.022595,0.019533,0.002767,-0.002549,0.000150,0.013746,0.003240,0.000263,0.011802,0.001191,0.145298,0.000677,0.006340,0.000185,0.000542,0.002203,0.002836,0.000882,0.042878,0.020677,0.018672,0.132497,0.036814,0.019868,0.192474,0.034476,0.024487,2.240307,0.274205,0.097366,0.115639,0.095418,0.055563,0.091961,0.056868,0.051820,0.068773,0.052150,0.076846,0.063816,0.006972,0.000412,0.021591,0.001871,0.022782,0.001098,0.010082,0.000369,0.001051,0.005427,0.004581,0.002180,0.004697,Sneezing
0.062518,0.003418,2.990416,0.160422,0.188283,0.504169,0.020057,0.062922,-37.866462,0.992222,-0.017891,-0.221589,0.042166,0.018200,-0.120054,0.024192,0.181520,0.215266,0.061311,-0.056431,0.030539,0.003703,0.003098,0.056479,0.003030,0.051967,0.001804,0.074881,0.001264,0.004261,0.013193,0.019042,0.004995,0.042193,0.033126,0.007594,0.321899,0.059678,0.063152,0.298822,0.039460,0.065279,4.084999,0.832082,0.367773,0.485694,0.354791,0.309544,0.252775,0.233213,0.250712,0.182669,0.181319,0.176365,0.135317,0.005190,0.004590,0.063630,0.003779,0.024412,0.001928,0.084139,0.001715,0.005950,0.014828,0.020362,0.007316,0.020062,Sneezing
0.017600,0.001842,2.360240,0.067979,0.088067,0.136379,0.009338,0.019310,-44.565839,0.719959,0.058138,0.130896,0.014048,0.083451,0.021156,0.003105,0.003801,-0.016108,-0.029407,-0.000685,-0.006842,0.002130,0.000456,0.022584,0.003055,0.108563,0.002411,0.099079,0.001051,0.000996,0.001513,0.002357,0.000572,0.057388,0.021900,0.003938,0.152847,0.026095,0.018806,0.158903,0.010339,0.026265,1.803847,0.263919,0.183207,0.140714,0.091563,0.141656,0.098092,0.076558,0.063748,0.067834,0.081756,0.069921,0.056117,0.003360,0.000682,0.027334,0.005369,0.011298,0.005517,0.056087,0.001990,0.001235,0.001620,0.002612,0.000804,0.013844,Sneezing
0.012595,0.000642,3.059297,0.044088,0.061414,0.204101,0.020724,0.017278,-45.462829,0.517808,0.039805,0.036247,-0.112557,0.092694,-0.087852,-0.034997,0.012717,0.005233,-0.036462,0.020449,-0.019540,0.002320,0.001226,0.008654,0.004868,0.136424,0.003232,0.011106,0.000975,0.002194,0.002238,0.004155,0.001790,0.040168,0.008397,0.001425,0.123067,0.023710,0.027062,0.115671,0.036210,0.014103,1.881329,0.439085,0.208407,0.167091,0.123022,0.136577,0.104534,0.085612,0.117715,0.103519,0.115075,0.090117,0.069573,0.003157,0.001154,0.010682,0.007479,0.016252,0.003170,0.018903,0.002650,0.003016,0.002328,0.005889,0.002440,0.004640,Sneezing
