@RELATION GBoostSnorer
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {NotSnoring,Snoring}

@DATA
0.017182,0.002815,3.187540,0.027494,0.027642,0.589341,0.006495,0.023657,-46.174953,-0.012868,-0.062168,-0.021515,-0.001708,-0.016163,0.029541,-0.071432,-0.030720,0.019723,-0.014448,0.065877,-0.014957,0.001233,0.000730,0.002134,0.000733,0.138022,0.001861,0.005019,0.002134,0.001710,0.001055,0.001363,0.001033,0.039745,0.009319,0.004116,0.131039,0.012047,0.010991,0.052138,0.021398,0.009527,1.589782,0.180703,0.146604,0.141574,0.094268,0.073011,0.099670,0.114929,0.116300,0.058423,0.048991,0.056432,0.049833,0.001354,0.000900,0.003394,0.000782,0.009385,0.002251,0.005682,0.003028,0.002272,0.001035,0.001330,0.001419,0.002463,NotSnoring
0.009487,0.001264,3.203693,0.021824,0.025227,0.228641,0.010390,0.010408,-47.763616,0.218172,-0.072310,-0.074062,0.063008,0.026064,0.000309,0.005754,0.023988,0.007447,-0.040592,0.017748,0.010397,0.001684,0.000838,0.004559,0.000728,0.148972,0.001115,0.008081,0.000750,0.000784,0.001363,0.001571,0.002903,0.043530,0.012753,0.002936,0.146764,0.021809,0.021922,0.093612,0.038004,0.016415,2.291594,0.195052,0.133680,0.090409,0.084183,0.053391,0.052315,0.071295,0.063795,0.048217,0.047863,0.043206,0.035919,0.001933,0.001287,0.007465,0.001201,0.013485,0.001866,0.012560,0.001642,0.001323,0.002419,0.001637,0.006732,0.003320,NotSnoring
0.012505,0.003797,3.134510,0.045948,0.067409,0.341929,0.008342,0.013521,-42.762142,0.804252,0.142507,0.140366,-0.054916,0.220370,0.027603,-0.034295,-0.020342,-0.027583,-0.020632,-0.070233,-0.007518,0.004823,0.000701,0.022303,0.004666,0.120157,0.002947,0.026096,0.000826,0.000853,0.008179,0.009366,0.001209,0.042740,0.010628,0.005709,0.219919,0.020538,0.025957,0.073195,0.020175,0.011653,2.582768,0.419381,0.175715,0.143191,0.125383,0.116008,0.097602,0.104968,0.081547,0.077406,0.091039,0.073348,0.108680,0.005339,0.000738,0.024828,0.004911,0.021580,0.004398,0.029282,0.001055,0.001060,0.011465,0.009833,0.001680,0.007236,NotSnoring
0.025771,0.057384,3.023139,0.090503,0.164361,0.035618,0.021824,0.027913,-25.453299,2.086577,-1.104218,-0.443598,0.054221,1.032021,0.232520,-0.312471,-0.313973,-0.175501,0.497916,0.185859,-0.040703,0.001398,0.000515,0.039669,0.002519,0.011481,0.039715,0.094245,0.024656,0.006105,0.006952,0.006995,0.001505,0.040663,0.005856,0.065214,0.169805,0.021066,0.031598,0.019645,0.018607,0.004467,1.578609,0.372955,0.415095,0.441085,0.307996,0.270747,0.284748,0.256145,0.235310,0.291174,0.298340,0.290837,0.159904,0.001584,0.000413,0.050492,0.003504,0.013688,0.056614,0.079796,0.038119,0.011901,0.012283,0.010955,0.002642,0.020865,NotSnoring
0.035481,0.058747,3.063725,0.086099,0.152933,0.032640,0.013651,0.040653,-24.548499,1.641903,-1.187902,0.547725,0.841464,0.265561,-0.331348,0.219342,-0.058747,-0.181600,0.257870,0.084671,0.035943,0.014219,0.011559,0.081185,0.009849,0.006822,0.008620,0.033402,0.007414,0.005393,0.006193,0.009513,0.010643,0.032371,0.003897,0.026133,0.120854,0.018539,0.028172,0.014168,0.006568,0.002511,0.488745,0.277680,0.235063,0.296068,0.267938,0.297354,0.304015,0.263115,0.311912,0.364251,0.350397,0.245332,0.121728,0.020242,0.018429,0.058811,0.013166,0.007458,0.011571,0.019996,0.012018,0.005716,0.007545,0.009167,0.021653,0.013810,NotSnoring
0.066007,0.002664,2.696558,0.141054,0.175774,0.521190,0.010799,0.090109,-33.098934,1.797374,-0.490111,0.072607,0.318793,0.019716,0.075230,0.068716,0.160020,0.130348,-0.104751,0.105257,-0.034830,0.010744,0.006803,0.022379,0.006224,0.031520,0.009723,0.030333,0.003730,0.008724,0.022178,0.020385,0.006889,0.017864,0.043203,0.005047,0.713748,0.049034,0.045263,0.447543,0.024518,0.088471,5.886817,0.957184,0.861582,0.360798,0.420715,0.316698,0.304851,0.263077,0.267856,0.222442,0.217167,0.211373,0.170377,0.009118,0.007652,0.016811,0.005999,0.035648,0.008381,0.027277,0.005210,0.011120,0.018606,0.016183,0.007892,0.010487,NotSnoring
0.054188,0.006182,2.988482,0.134195,0.156693,0.603575,0.010814,0.073639,-36.162870,1.242706,0.261762,0.014415,-0.169925,0.240795,0.203016,0.290149,0.107939,-0.081983,0.003601,-0.021735,0.048989,0.011034,0.005026,0.025641,0.005236,0.076572,0.004783,0.032397,0.001524,0.002552,0.011084,0.012543,0.002901,0.029518,0.021906,0.010562,0.397850,0.035407,0.042594,0.267042,0.027794,0.041629,3.954249,0.639955,0.397890,0.362386,0.335541,0.282412,0.256218,0.242735,0.259766,0.181092,0.200437,0.154594,0.148990,0.012357,0.006930,0.022019,0.004840,0.028220,0.006014,0.032710,0.003337,0.002612,0.011776,0.014169,0.003642,0.009012,NotSnoring
0.026103,0.002686,2.973893,0.116586,0.169364,0.206883,0.047929,0.033240,-36.192907,1.323927,-0.095676,0.255459,0.091119,-0.010765,0.205279,0.148957,0.164036,-0.019940,-0.040044,0.040068,-0.047179,0.002613,0.001131,0.018801,0.002039,0.101233,0.001811,0.092714,0.000656,0.000763,0.001844,0.004857,0.001154,0.046423,0.030841,0.004193,0.270643,0.030455,0.021851,0.270205,0.059489,0.053634,3.572953,0.694027,0.446563,0.311647,0.205969,0.236095,0.211277,0.123625,0.167611,0.161056,0.151737,0.153405,0.158527,0.003691,0.002482,0.019909,0.003302,0.045865,0.002846,0.092880,0.001149,0.001000,0.002490,0.004914,0.001643,0.019226,NotSnoring
0.028076,0.066329,3.201708,0.080819,0.140343,0.021432,0.007766,0.035699,-24.360489,1.698833,-2.360474,-0.738269,-0.621880,0.557945,0.460908,-0.074563,-0.596484,-0.010150,0.318242,-0.097558,-0.066754,0.003870,0.004167,0.007412,0.006962,0.011832,0.116247,0.006055,0.005880,0.033306,0.002376,0.002848,0.002372,0.039403,0.002265,0.012028,0.048563,0.024473,0.040667,0.013466,0.004978,0.005628,0.636917,0.558600,0.389665,0.268985,0.299875,0.330163,0.295512,0.253101,0.292339,0.244539,0.237187,0.190398,0.141520,0.005158,0.004733,0.007925,0.007042,0.013850,0.033080,0.009196,0.007452,0.024355,0.003267,0.004815,0.003594,0.008445,NotSnoring
0.039868,0.106570,3.138064,0.096620,0.116468,0.312872,0.008610,0.057586,-33.650172,0.482827,-0.589205,-0.067085,-0.119252,0.354667,-0.011193,0.030505,0.040548,0.086518,0.040320,-0.044963,0.001623,0.004251,0.002628,0.051064,0.003062,0.064352,0.003017,0.050884,0.006141,0.006407,0.004372,0.006798,0.005595,0.041383,0.023857,0.124447,0.195794,0.030258,0.032793,0.228550,0.016291,0.043723,4.093233,0.692922,0.397844,0.386115,0.316018,0.256804,0.316309,0.238309,0.188700,0.166462,0.172933,0.144277,0.159322,0.006428,0.004301,0.066906,0.006268,0.017651,0.003942,0.063700,0.009635,0.011224,0.005521,0.008883,0.008788,0.019591,NotSnoring
