@RELATION svmSMSneezer
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Sneezing,NotSneezing}

@DATA
0.057768,0.001901,2.997093,0.101622,0.095138,0.396718,0.015836,0.036134,-44.718453,0.293175,-0.061374,-0.042589,-0.262774,-0.053461,-0.024423,0.033419,0.006864,0.018832,0.012815,0.005280,-0.033545,0.003542,0.004084,0.005342,0.003531,0.103150,0.002479,0.008809,0.001492,0.003735,0.005574,0.009999,0.003186,0.033473,0.055609,0.003365,0.326723,0.081905,0.066329,0.260521,0.045208,0.036262,2.611483,0.423799,0.496226,0.199862,0.311329,0.177204,0.202050,0.160251,0.106324,0.144140,0.128816,0.105363,0.111144,0.003310,0.006442,0.007726,0.008052,0.028357,0.003459,0.013786,0.002442,0.005798,0.007442,0.014532,0.003407,0.008343,Sneezing
0.155808,0.001499,3.177803,0.194771,0.138462,1.277854,0.005015,0.294428,-43.075085,0.499572,0.112921,0.193668,0.156920,0.096468,0.052264,-0.008873,0.020210,-0.058095,-0.021063,-0.004344,0.068746,0.004548,0.001103,0.023898,0.004198,0.082217,0.002489,0.014906,0.000784,0.001592,0.003123,0.006601,0.001052,0.029655,0.058647,0.003049,0.211373,0.062212,0.037329,0.420287,0.017609,0.126713,3.019590,0.373878,0.272604,0.161094,0.169288,0.210029,0.128266,0.184176,0.117363,0.106776,0.131315,0.121650,0.091009,0.005446,0.001244,0.016002,0.004987,0.016459,0.001926,0.014293,0.000744,0.001515,0.003878,0.004002,0.000849,0.006465,Sneezing
0.019428,0.001472,3.116061,0.037504,0.039384,0.243920,0.003714,0.021806,-46.802816,0.239113,0.011041,0.058249,0.039060,0.055637,-0.051038,0.000193,-0.043845,-0.026414,0.004623,0.015746,0.016918,0.001587,0.000319,0.003588,0.003132,0.144857,0.001540,0.006407,0.000476,0.000603,0.002093,0.002375,0.000634,0.040445,0.009746,0.004016,0.078552,0.012925,0.008828,0.109775,0.013919,0.018272,1.206443,0.246780,0.056752,0.134619,0.033876,0.043105,0.068869,0.040163,0.026580,0.028801,0.042067,0.038430,0.028723,0.001273,0.000214,0.003037,0.002669,0.009858,0.000955,0.004748,0.000445,0.000438,0.001805,0.001768,0.000451,0.002572,Sneezing
0.071216,0.001410,3.082486,0.119413,0.115702,0.777370,0.009129,0.092886,-42.006410,0.515820,-0.281186,-0.241297,0.069905,-0.165886,-0.114705,0.088732,0.042458,-0.068867,0.014520,0.058644,0.023864,0.004482,0.006455,0.023243,0.004263,0.080899,0.004762,0.021684,0.002318,0.004360,0.004604,0.006745,0.004597,0.031892,0.047778,0.003172,0.233370,0.049893,0.043483,0.364108,0.029207,0.076523,3.772266,0.589652,0.388440,0.312541,0.266591,0.176406,0.170677,0.188138,0.169852,0.142933,0.138217,0.124024,0.111950,0.004497,0.010549,0.028584,0.003561,0.017498,0.005957,0.029069,0.003101,0.006348,0.004235,0.010333,0.007949,0.011658,Sneezing
0.045998,0.009364,3.179806,0.074578,0.080748,0.520677,0.011466,0.061960,-41.095126,0.264277,-0.416534,-0.153071,-0.135283,-0.044687,-0.166671,0.052976,-0.136099,0.043078,0.019178,0.111109,-0.029995,0.004937,0.003132,0.006511,0.006834,0.092382,0.006297,0.004632,0.002027,0.005070,0.003837,0.004568,0.003200,0.030995,0.040557,0.014042,0.106260,0.047081,0.034593,0.341965,0.030625,0.062003,2.895141,0.809814,0.396410,0.278096,0.191890,0.150933,0.177297,0.204128,0.194841,0.187779,0.166578,0.156634,0.120807,0.009484,0.004135,0.008457,0.010798,0.025652,0.011219,0.009068,0.002410,0.010178,0.007616,0.009167,0.005649,0.009042,Sneezing
0.055826,0.005362,3.159538,0.150463,0.164618,0.523034,0.011902,0.067005,-40.882725,0.801383,-0.101278,0.107998,0.088450,0.124177,-0.034564,0.095201,-0.064467,0.033667,0.140510,0.032224,-0.026555,0.004394,0.002987,0.013632,0.002873,0.100942,0.004124,0.013883,0.003571,0.003132,0.004868,0.005250,0.001878,0.032177,0.038581,0.007694,0.186823,0.078239,0.059842,0.318721,0.031180,0.057390,3.666715,0.526726,0.529765,0.236574,0.235809,0.248139,0.205683,0.159759,0.200358,0.148151,0.159783,0.147355,0.137468,0.006285,0.005031,0.020577,0.002680,0.044350,0.006485,0.019322,0.006421,0.005084,0.007713,0.005845,0.002111,0.009081,Sneezing
0.037972,0.002948,1.974304,0.084386,0.081694,0.219756,0.003354,0.031978,-46.388773,0.539215,0.081571,0.072304,-0.097323,-0.005685,-0.010637,-0.005501,0.011636,0.060149,0.014411,0.068940,0.002997,0.002650,0.000765,0.008890,0.001636,0.122734,0.001877,0.010906,0.000279,0.001514,0.008406,0.012448,0.001020,0.038169,0.035735,0.007985,0.229897,0.045872,0.034139,0.175703,0.005286,0.035026,2.156275,0.408256,0.152607,0.118391,0.162800,0.092789,0.091328,0.075159,0.088674,0.098592,0.092026,0.086546,0.053353,0.002542,0.000788,0.009833,0.001291,0.014921,0.003633,0.011237,0.000219,0.001294,0.011417,0.018613,0.001203,0.005639,Sneezing
0.017409,0.004115,3.024158,0.075108,0.113190,0.201638,0.018926,0.019564,-42.666258,0.980529,0.136423,0.007217,-0.092502,0.121365,0.004272,0.092607,0.026420,0.032517,-0.025541,0.020486,0.008882,0.002410,0.001373,0.022095,0.002639,0.116501,0.002405,0.068105,0.000469,0.001040,0.001132,0.003070,0.000947,0.047759,0.021432,0.009607,0.240702,0.032013,0.032136,0.188010,0.022767,0.025682,2.471541,0.512007,0.247521,0.287732,0.226208,0.124665,0.131055,0.127292,0.131856,0.112780,0.116546,0.094798,0.089803,0.004344,0.002854,0.029927,0.004198,0.029210,0.004079,0.071908,0.000932,0.002246,0.001696,0.003921,0.002043,0.014540,Sneezing
0.012255,0.010082,3.147299,0.063360,0.082292,0.230619,0.012990,0.014918,-46.671258,0.631864,0.155313,0.078644,0.021817,0.042609,0.001985,0.022595,0.019533,0.002767,-0.002549,0.000150,0.013746,0.003240,0.000263,0.011802,0.001191,0.145298,0.000677,0.006340,0.000185,0.000542,0.002203,0.002836,0.000882,0.042878,0.020677,0.018672,0.132497,0.036814,0.019868,0.192474,0.034476,0.024487,2.240307,0.274205,0.097366,0.115639,0.095418,0.055563,0.091961,0.056868,0.051820,0.068773,0.052150,0.076846,0.063816,0.006972,0.000412,0.021591,0.001871,0.022782,0.001098,0.010082,0.000369,0.001051,0.005427,0.004581,0.002180,0.004697,Sneezing
0.062518,0.003418,2.990416,0.160422,0.188283,0.504169,0.020057,0.062922,-37.866462,0.992222,-0.017891,-0.221589,0.042166,0.018200,-0.120054,0.024192,0.181520,0.215266,0.061311,-0.056431,0.030539,0.003703,0.003098,0.056479,0.003030,0.051967,0.001804,0.074881,0.001264,0.004261,0.013193,0.019042,0.004995,0.042193,0.033126,0.007594,0.321899,0.059678,0.063152,0.298822,0.039460,0.065279,4.084999,0.832082,0.367773,0.485694,0.354791,0.309544,0.252775,0.233213,0.250712,0.182669,0.181319,0.176365,0.135317,0.005190,0.004590,0.063630,0.003779,0.024412,0.001928,0.084139,0.001715,0.005950,0.014828,0.020362,0.007316,0.020062,Sneezing
0.017600,0.001842,2.360240,0.067979,0.088067,0.136379,0.009338,0.019310,-44.565839,0.719959,0.058138,0.130896,0.014048,0.083451,0.021156,0.003105,0.003801,-0.016108,-0.029407,-0.000685,-0.006842,0.002130,0.000456,0.022584,0.003055,0.108563,0.002411,0.099079,0.001051,0.000996,0.001513,0.002357,0.000572,0.057388,0.021900,0.003938,0.152847,0.026095,0.018806,0.158903,0.010339,0.026265,1.803847,0.263919,0.183207,0.140714,0.091563,0.141656,0.098092,0.076558,0.063748,0.067834,0.081756,0.069921,0.056117,0.003360,0.000682,0.027334,0.005369,0.011298,0.005517,0.056087,0.001990,0.001235,0.001620,0.002612,0.000804,0.013844,Sneezing
0.012595,0.000642,3.059297,0.044088,0.061414,0.204101,0.020724,0.017278,-45.462829,0.517808,0.039805,0.036247,-0.112557,0.092694,-0.087852,-0.034997,0.012717,0.005233,-0.036462,0.020449,-0.019540,0.002320,0.001226,0.008654,0.004868,0.136424,0.003232,0.011106,0.000975,0.002194,0.002238,0.004155,0.001790,0.040168,0.008397,0.001425,0.123067,0.023710,0.027062,0.115671,0.036210,0.014103,1.881329,0.439085,0.208407,0.167091,0.123022,0.136577,0.104534,0.085612,0.117715,0.103519,0.115075,0.090117,0.069573,0.003157,0.001154,0.010682,0.007479,0.016252,0.003170,0.018903,0.002650,0.003016,0.002328,0.005889,0.002440,0.004640,Sneezing
0.037545,0.004879,3.200274,0.079520,0.080635,0.489942,0.006637,0.051688,-44.113417,0.560836,0.162592,0.112347,-0.080912,0.028746,-0.007503,0.001238,0.005851,0.030186,0.021164,0.044476,0.012650,0.002727,0.000577,0.008164,0.002398,0.134441,0.003213,0.012508,0.000527,0.001799,0.003935,0.006186,0.000797,0.039158,0.036708,0.005309,0.137445,0.044636,0.027904,0.294254,0.022834,0.067478,2.542514,0.392376,0.210541,0.265880,0.119603,0.148169,0.077804,0.120717,0.127559,0.102272,0.079586,0.083348,0.079612,0.003815,0.000751,0.008887,0.002504,0.023982,0.004161,0.014960,0.000801,0.002353,0.004198,0.006423,0.000786,0.005875,Sneezing
0.075399,0.007769,3.108499,0.196887,0.200202,0.649493,0.008395,0.081361,-38.007789,1.409522,0.557855,0.370822,-0.094682,0.083897,0.024682,0.072496,0.125265,0.165298,0.068306,0.127156,0.042292,0.004793,0.001806,0.017003,0.003806,0.120503,0.006739,0.021816,0.000922,0.006037,0.005641,0.009650,0.002068,0.036070,0.039281,0.008405,0.256491,0.031273,0.022551,0.415800,0.025831,0.079714,2.117738,0.699259,0.277351,0.280918,0.279734,0.191971,0.146188,0.189423,0.151539,0.180090,0.155179,0.121378,0.134478,0.004898,0.001926,0.015130,0.003590,0.035722,0.011398,0.017929,0.000962,0.006564,0.004382,0.008107,0.002031,0.009827,Sneezing
0.018131,0.012704,3.202836,0.063702,0.107208,0.322309,0.021470,0.025544,-44.290314,0.712544,0.016934,-0.083978,0.007219,0.150771,0.043316,0.029918,-0.031945,0.021104,0.048856,0.044063,-0.002413,0.000572,0.000451,0.006346,0.001003,0.134685,0.002842,0.006743,0.004580,0.003862,0.000859,0.000915,0.000379,0.040139,0.017685,0.014652,0.158327,0.040697,0.050956,0.202019,0.064678,0.028999,3.233739,0.518736,0.386896,0.291791,0.183051,0.151206,0.160062,0.152334,0.147345,0.123167,0.139648,0.090290,0.080975,0.000664,0.000597,0.013892,0.001674,0.024555,0.004832,0.014038,0.009082,0.011976,0.001382,0.001522,0.000627,0.005912,Sneezing
0.112382,0.005429,3.027417,0.194386,0.205166,0.949331,0.004925,0.099946,-37.339512,1.480641,-0.049841,-0.060686,-0.244879,-0.051218,-0.205482,0.042844,0.068483,-0.039098,-0.302356,0.039158,-0.003891,0.011438,0.011369,0.019608,0.012735,0.014691,0.007926,0.016227,0.002254,0.008667,0.016930,0.018523,0.006852,0.011861,0.050585,0.008389,0.306639,0.049409,0.033811,0.423672,0.003635,0.092797,3.697267,0.668187,0.500499,0.370594,0.469959,0.326941,0.281005,0.274872,0.276522,0.216941,0.288126,0.259292,0.228376,0.006879,0.013675,0.013553,0.014538,0.014633,0.009813,0.012409,0.002179,0.007965,0.014562,0.017216,0.007634,0.006015,Sneezing
0.207241,0.002655,3.062588,0.290820,0.222412,0.787883,0.013161,0.065953,-39.131079,1.120874,-0.163294,0.101428,-0.202274,0.038627,-0.096014,-0.046299,-0.101216,-0.094374,-0.094108,0.065012,0.013955,0.009044,0.004038,0.018680,0.014048,0.039220,0.014846,0.015707,0.002898,0.005799,0.006793,0.011553,0.003020,0.016557,0.078077,0.005256,0.426315,0.090450,0.048524,0.401953,0.030737,0.058792,4.823186,0.661754,0.418099,0.321954,0.330195,0.236718,0.201182,0.196345,0.181261,0.201933,0.224196,0.194369,0.169446,0.010115,0.004137,0.018767,0.015217,0.027162,0.018216,0.018090,0.003146,0.007971,0.006893,0.013961,0.003611,0.009021,Sneezing
0.021402,0.000875,3.041732,0.101931,0.121510,0.378227,0.015996,0.017114,-44.487430,0.749632,0.229785,0.155569,0.077339,0.073245,0.055600,0.032000,0.027573,0.016876,0.032033,0.037541,0.010730,0.000292,0.000196,0.012272,0.001023,0.114755,0.001241,0.118945,0.000071,0.000183,0.000375,0.001539,0.000119,0.061251,0.027372,0.002637,0.213645,0.037767,0.033707,0.224481,0.022876,0.042564,2.396986,0.484802,0.144998,0.122162,0.141891,0.129050,0.097639,0.075838,0.088893,0.090713,0.067031,0.062251,0.066183,0.000367,0.000399,0.017076,0.003561,0.034815,0.004617,0.099988,0.000118,0.000301,0.000511,0.002113,0.000169,0.020375,Sneezing
