@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Airplane,Breathing,Brushingteeth,Canopening,Carhorn,Cat,Chainsaw,Chirpingbirds,Churchbells,Clapping,Clockalarm,Clocktick,Coughing,Cow,Cracklingfire,Crickets,Crow,Cryingbaby,Dog,Door,Doorknock,Drinking,Engine,Fireworks,Footsteps,Frog,Glassbreaking,Handsaw,Helicopter,Hen,Insects,Keyboardtyping,Laughing,Mouseclick,Pig,Pouringwater,Rain,Rooster,Seawaves,Sheep,Siren,Sneezing,Snoring,Thunderstorm,Toiletflush,Train,Vacuumcleaner,Washingmachine,Waterdrops,Wind}

@DATA
0.079637,0.046556,3.126871,0.148952,0.165453,0.723946,0.004938,0.145762,-24.025656,1.856580,0.868936,0.307431,-0.049333,-0.036306,0.041632,0.231656,-0.128890,-0.051283,0.104550,0.175541,-0.012646,0.009027,0.002243,0.068674,0.008556,0.018019,0.006548,0.134176,0.000804,0.003146,0.007432,0.043236,0.002488,0.043989,0.021496,0.017638,0.081020,0.021308,0.022078,0.194539,0.002312,0.049374,0.628981,0.188741,0.244566,0.162590,0.153168,0.212528,0.180897,0.190853,0.164382,0.163127,0.154616,0.147562,0.169990,0.006611,0.002185,0.040226,0.008193,0.012528,0.006403,0.066878,0.000543,0.002734,0.005529,0.028073,0.001993,0.015160,Airplane
0.120240,0.074253,3.254841,0.165248,0.150828,1.242946,0.001934,0.222931,-21.503967,1.123318,0.053593,0.223070,0.002127,0.140491,0.142867,0.119813,-0.124699,-0.118523,0.123860,-0.026445,-0.044227,0.009499,0.005959,0.030277,0.011530,0.014742,0.008015,0.040455,0.003440,0.004638,0.009979,0.021144,0.004028,0.015652,0.018351,0.017393,0.026128,0.013816,0.012733,0.209583,0.000465,0.034598,0.398770,0.185591,0.159783,0.168685,0.144197,0.166616,0.170647,0.160851,0.148512,0.139661,0.132322,0.139789,0.146072,0.005135,0.003160,0.016991,0.007917,0.008466,0.004891,0.027875,0.002129,0.002796,0.005838,0.015067,0.003143,0.006803,Airplane
0.025463,0.081351,3.084271,0.077408,0.134679,0.142602,0.002354,0.020100,-22.823169,2.872301,0.914962,-0.725244,-0.274407,-0.462543,-0.289288,-0.204347,-0.121426,0.087842,0.212781,0.066148,-0.152264,0.041436,0.002669,0.005169,0.013295,0.045598,0.005693,0.026702,0.000426,0.017506,0.007034,0.019655,0.001633,0.018099,0.004276,0.030552,0.082365,0.016502,0.032349,0.037555,0.000816,0.002460,0.455147,0.167961,0.243956,0.170956,0.150447,0.196565,0.153375,0.172465,0.154846,0.133413,0.147765,0.132662,0.120975,0.019953,0.001692,0.003300,0.005813,0.018959,0.003064,0.014245,0.000400,0.007563,0.004144,0.007015,0.001460,0.005156,Airplane
0.013861,0.034929,2.889737,0.070423,0.142445,0.036411,0.003171,0.020871,-23.719222,3.413800,-0.034424,0.617525,0.070936,0.041370,-0.250695,-0.169198,0.146162,-0.144541,-0.016637,-0.120017,-0.089271,0.030999,0.003333,0.054942,0.010586,0.009298,0.005456,0.072576,0.000334,0.004354,0.034924,0.042685,0.002291,0.027268,0.002496,0.008045,0.096379,0.023637,0.041076,0.022197,0.001222,0.005757,0.504270,0.269855,0.238151,0.224145,0.158656,0.194896,0.179626,0.138133,0.144155,0.144234,0.150843,0.126254,0.120022,0.018359,0.002380,0.020504,0.008302,0.006253,0.003846,0.018322,0.000299,0.002481,0.018648,0.017559,0.001367,0.003553,Airplane
0.009623,0.051637,3.035108,0.062634,0.144591,0.013473,0.010273,0.013956,-24.365803,4.036028,-0.078323,0.715686,0.129548,0.187212,0.009115,0.172292,0.092592,0.149994,0.184658,-0.063655,-0.256968,0.017253,0.001754,0.064079,0.004219,0.016171,0.003192,0.127690,0.000540,0.004266,0.016125,0.069930,0.003137,0.042058,0.002019,0.012353,0.102291,0.028026,0.045357,0.013781,0.004496,0.003537,0.616143,0.463453,0.308065,0.271219,0.184138,0.196511,0.181144,0.213618,0.161133,0.156290,0.157810,0.121922,0.143209,0.010593,0.001791,0.035203,0.003469,0.011398,0.002653,0.046070,0.000620,0.003566,0.010023,0.027628,0.002552,0.009507,Airplane
0.010903,0.047919,3.052862,0.068173,0.154709,0.015298,0.007865,0.016506,-24.221615,4.111281,-0.205448,0.412356,0.173218,0.330974,0.251021,-0.014397,-0.092389,-0.006895,-0.075096,-0.223858,-0.303727,0.044776,0.001794,0.081552,0.026785,0.016288,0.003341,0.066470,0.001428,0.002701,0.013324,0.062230,0.002768,0.034327,0.002240,0.011451,0.116970,0.025373,0.039108,0.013561,0.003157,0.004851,0.721928,0.500671,0.345140,0.275898,0.207760,0.182224,0.156437,0.143537,0.149504,0.142554,0.148085,0.126644,0.114641,0.017724,0.001477,0.037824,0.013669,0.009381,0.001905,0.032651,0.001705,0.001950,0.009900,0.029598,0.002528,0.005906,Airplane
0.010150,0.036892,3.109453,0.070208,0.154697,0.019045,0.006206,0.017314,-24.816207,3.790058,0.110481,0.541668,0.097478,0.072776,-0.084960,-0.047023,-0.116992,-0.182117,-0.222143,-0.148380,-0.101212,0.040334,0.002154,0.034340,0.010592,0.020145,0.010083,0.131408,0.001655,0.003167,0.012315,0.056218,0.003778,0.039523,0.001587,0.008842,0.083103,0.027618,0.041581,0.016144,0.002460,0.002005,0.593390,0.391972,0.214225,0.177541,0.162289,0.139629,0.124934,0.128793,0.133307,0.138909,0.128753,0.118310,0.110760,0.021243,0.001886,0.016047,0.007572,0.009759,0.006862,0.035458,0.001221,0.002359,0.007222,0.017008,0.002265,0.008035,Airplane
0.014378,0.058943,3.019338,0.075324,0.145574,0.055697,0.002827,0.012232,-23.816025,2.679901,0.744532,0.749096,0.400685,0.272404,-0.069266,-0.158423,-0.044754,0.116998,-0.032472,0.070500,0.023656,0.011120,0.000440,0.041685,0.013996,0.013768,0.008219,0.017800,0.000372,0.002108,0.053860,0.132554,0.000878,0.041991,0.004607,0.014131,0.082124,0.023107,0.039011,0.025935,0.001359,0.002611,0.759277,0.273518,0.200396,0.201010,0.171004,0.182515,0.180544,0.158306,0.121838,0.126183,0.118163,0.137114,0.132454,0.008448,0.000353,0.013874,0.006956,0.006238,0.006189,0.007253,0.000379,0.001308,0.014330,0.025585,0.000698,0.006145,Airplane
0.007155,0.040618,3.094785,0.069772,0.149883,0.015695,0.004318,0.012060,-24.960879,3.608597,0.024082,0.782213,0.226420,0.143359,0.039008,-0.008304,0.144056,0.058021,-0.093633,-0.014534,0.082197,0.006274,0.001241,0.023204,0.007920,0.011609,0.003831,0.020095,0.000221,0.002649,0.016627,0.222191,0.001116,0.059854,0.002157,0.007576,0.061336,0.022311,0.034679,0.010497,0.001883,0.002877,0.484151,0.308257,0.255512,0.197900,0.210696,0.167420,0.154780,0.144303,0.163714,0.135050,0.146983,0.145819,0.129124,0.005165,0.000859,0.012108,0.005319,0.004399,0.003068,0.009933,0.000199,0.001894,0.008203,0.019022,0.000804,0.005331,Airplane
0.026325,0.049447,3.159583,0.070927,0.129446,0.056114,0.006827,0.041162,-22.072032,2.774710,-0.991119,0.502628,-0.186979,0.219416,-0.457940,-0.175026,-0.273621,-0.213230,-0.286032,-0.026267,-0.201052,0.034166,0.004709,0.018906,0.029102,0.015976,0.018320,0.026889,0.003866,0.010035,0.027508,0.023472,0.008585,0.017806,0.004413,0.023472,0.077360,0.018486,0.034589,0.026612,0.002311,0.006379,0.619178,0.261604,0.324580,0.249446,0.208827,0.206046,0.174233,0.178789,0.182790,0.197348,0.163269,0.151002,0.143974,0.031508,0.002827,0.011682,0.023848,0.009866,0.013967,0.014121,0.003990,0.008272,0.017481,0.015849,0.006437,0.006810,Airplane
